	seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21	seq_22
100_noda	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
101_noda	0	394	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	
102_noda	0	116	0	0	7	4	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	
103_noda	0	253	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	
104_noda	0	43	0	0	3	5	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	
105_noda	0	118	0	0	20	5	0	0	0	0	1	0	0	0	2	0	0	0	9	0	0	0	
106_noda	0	57	0	0	12	8	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	
107_noda	0	112	0	0	0	15	0	0	0	0	5	2	0	0	1	0	0	0	0	0	0	0	
108_noda	0	253	0	0	1	15	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	
109_noda	0	60	0	0	7	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
10_noda	2	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
110_noda	0	342	0	0	2	4	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	
111_noda	0	629	0	0	3	12	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	
112_noda	0	382	0	0	1	36	0	0	0	0	10	4	0	0	1	0	0	0	0	0	0	0	
113_noda	0	265	0	0	4	17	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	
114_noda	0	213	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
115_noda	0	537	0	0	0	21	0	0	0	0	11	17	0	0	0	0	0	0	0	0	0	0	
116_noda	0	56	0	0	3	7	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	
117_noda	0	58	0	0	1	5	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	
118_noda	0	69	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
119_noda	0	60	0	0	1	39	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	
11_noda	6	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	
120_noda	0	13	0	0	0	2	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	
121_noda	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
122_noda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
123_noda	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
124_noda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
