	seqr_1	seqr_2	seqr_3	seqr_4	seqr_5	seqr_6	seqr_7	seqr_8	seqr_9	seqr_10	seqr_11	seqr_12	seqr_13	seqr_14	seqr_15	seqr_16	seqr_17	seqr_18	seqr_19	seqr_20	seqr_21	seqr_22	seqr_23	seqr_24	seqr_25	seqr_26	seqr_27	seqr_28	seqr_29	seqr_30	seqr_31	seqr_32	seqr_33	seqr_34	seqr_35	seqr_36	seqr_37	seqr_38	seqr_39	seqr_40	seqr_41	seqr_42	seqr_43	seqr_44	seqr_45	seqr_46	seqr_47	seqr_48	seqr_49	seqr_50	seqr_51	seqr_52	seqr_53	seqr_54	seqr_55	seqr_56	seqr_57	seqr_58	seqr_59	seqr_60	seqr_61	seqr_62	seqr_63	seqr_64	seqr_65	seqr_66	seqr_67	seqr_68	seqr_69	seqr_70	seqr_71	seqr_72	seqr_73	seqr_74	seqr_75	seqr_76	seqr_77	seqr_78	seqr_79	seqr_80	seqr_81	seqr_82	seqr_83	seqr_84	seqr_85	seqr_86	seqr_87	seqr_88	seqr_89	seqr_90	seqr_91	seqr_92	seqr_93	seqr_94	seqr_95	seqr_96	seqr_97	seqr_98	seqr_99	seqr_100	seqr_101	seqr_102	seqr_103	seqr_104	seqr_105	seqr_106	seqr_107	seqr_108	seqr_109	seqr_110	seqr_111	seqr_112	seqr_113	seqr_114	seqr_115	seqr_116	seqr_117	seqr_118
100_noda	1	2320	380	0	0	669	0	310	317	160	14	0	0	0	1	0	160	3	0	31	173	5	151	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	89	1	0	57	0	55	0	0	14	0	0	75	0	0	0	1	0	0	0	0	29	0	0	0	0	0	0	1	0	0	37	0	1	0	0	2	0	38	2	27	0	0	0	38	0	31	1	0	0	0	0	0	0	29	0	2	32	5	23	27	0	0	0	0	3	0	3	2	0	0	0	0	0	28	24	15	0	22	0	
101_noda	0	33779	71	0	366	2208	0	1730	1572	38	0	0	0	0	0	2	1288	1	0	5	25	0	74	0	0	0	21	0	0	0	0	0	0	0	0	0	180	17	0	11	2	0	20	0	77	0	0	5	0	0	16	1	0	0	0	0	20	26	0	90	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	5	0	17	0	10	9	6	12	765	2324	0	0	35	2	0	0	66	0	2	3	0	5	2	0	0	0	0	0	0	0	12	0	0	2	0	0	6	2	2	0	3	0	
102_noda	0	16846	4260	0	107	2573	0	1292	1101	1252	0	38	0	1	0	1	1451	2	0	178	1425	21	1253	1	0	0	9	0	0	0	3	3	0	0	1	0	46	0	0	607	2	0	516	0	243	1	0	168	0	0	611	2	0	3	0	0	10	6	0	165	0	0	0	0	1	0	0	0	0	291	0	0	0	0	0	0	205	8	220	0	11	16	299	9	206	0	0	0	13	12	0	0	131	0	2	253	4	135	117	0	0	0	0	0	0	21	6	0	0	1	0	0	228	108	112	0	197	0	
103_noda	0	25293	1821	0	0	2370	0	1980	1866	740	22	0	0	0	0	0	1360	1	0	113	896	6	1261	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	523	0	0	565	0	116	0	0	135	0	0	557	2	0	0	0	0	0	0	0	134	0	0	0	0	0	0	1	0	0	360	0	4	0	0	3	0	110	5	331	0	5	14	311	0	200	0	0	0	0	0	0	0	106	0	0	203	1	87	109	0	0	0	0	7	0	17	8	0	0	0	0	0	168	98	103	0	196	0	
104_noda	0	9823	1646	0	34	4849	0	2267	2212	668	37	3	0	1	1	2	745	12	0	150	803	5	680	0	0	0	2	0	1	0	5	0	0	0	0	0	16	0	0	498	5	0	298	0	388	3	0	85	0	1	344	4	0	4	0	0	1	10	0	220	0	0	0	0	0	0	1	0	0	251	0	1	0	0	13	0	293	3	187	0	13	8	192	1	101	2	0	0	4	5	0	0	197	0	1	125	6	198	181	0	0	0	0	18	0	16	14	0	0	1	0	0	121	176	174	0	129	0	
105_noda	1	18648	6880	0	440	2668	0	1398	1318	1942	46	1	0	1	0	15	2407	15	0	234	2194	33	2031	0	0	0	76	0	0	0	6	0	0	0	3	0	181	0	0	901	2	0	959	0	334	0	0	268	0	0	958	2	0	1	2	0	41	23	0	240	0	0	0	0	0	0	5	0	0	421	0	6	0	0	3	0	227	17	363	0	5	11	500	17	500	710	0	0	36	77	0	0	161	1	6	382	4	209	189	0	0	0	0	14	0	55	5	0	1	4	0	0	372	192	144	0	292	0	
106_noda	2	11877	6812	0	2	5639	0	1974	2068	1800	0	2	0	2	0	1	1491	27	0	253	2285	40	1395	0	0	0	0	1	0	0	12	0	0	0	1	0	0	0	0	856	2	0	768	0	707	3	0	177	0	0	781	5	0	4	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	334	1	0	0	0	0	0	628	26	280	0	8	13	369	0	265	0	0	0	0	0	0	0	322	0	3	321	2	437	474	0	0	0	0	0	0	60	9	0	0	0	0	0	256	289	285	0	256	0	
107_noda	2	17426	1769	0	228	5558	0	2784	2693	673	98	0	0	3	2	5	998	5	0	118	951	2	909	0	0	0	21	0	0	0	3	1	0	0	0	0	133	0	0	573	7	1	365	0	311	0	0	78	0	1	368	1	0	0	6	0	17	36	0	171	0	0	0	0	0	0	1	0	0	265	0	6	0	0	19	0	269	5	251	0	20	8	204	20	116	0	0	0	21	19	0	0	176	0	0	142	5	149	146	0	0	0	0	51	0	13	7	0	3	1	0	0	125	182	183	0	124	0	
108_noda	0	25134	2670	0	0	7093	0	3850	3768	1016	28	0	0	2	0	3	1439	7	0	189	1362	20	1366	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	851	6	0	661	0	464	1	0	121	0	0	608	1	0	2	2	0	0	0	0	283	0	0	0	0	0	0	1	0	0	393	0	1	0	0	4	0	389	9	363	0	19	22	310	0	180	0	0	0	0	0	0	0	260	0	4	205	4	216	228	0	0	0	0	17	0	15	11	0	0	0	0	0	241	264	267	0	252	0	
109_noda	0	10556	4262	2	34	4521	0	1278	1295	1136	253	3	0	2	4	3	1026	19	0	148	1303	21	862	0	0	0	11	0	2	0	5	0	0	0	0	0	16	0	0	508	2	0	330	0	486	0	0	94	0	3	363	4	0	2	11	0	3	1	0	195	0	0	0	0	0	0	12	1	0	131	0	20	0	0	29	0	326	19	118	1	11	12	189	1	124	34	0	0	7	5	0	0	149	0	0	135	16	216	196	0	0	0	0	103	0	37	5	0	0	0	0	0	144	132	118	0	120	0	
