   	   	seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21
1_nodd	1	0	74	0	20	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2_nodd	2	0	10	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
3_nodd	3	0	4	0	0	0	0	9	2	0	0	0	0	3	0	0	0	0	0	0	0	2
4_nodd	4	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5_nodd	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6_nodd	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7_nodd	7	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8_nodd	8	0	2	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
9_nodd	9	0	44	48	1	0	0	0	0	0	0	1	0	0	0	0	3	0	2	0	0	0
10_nodd	10	0	15	0	2	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	3
11_nodd	11	0	4	0	1	2	0	15	0	0	0	0	0	1	0	0	1	0	0	0	0	0
12_nodd	12	0	36	0	8	0	0	1	0	3	6	0	0	0	0	0	0	2	0	0	0	0
13_nodd	13	0	9	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
14_nodd	14	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15_nodd	15	0	9	6	0	0	0	0	116	0	0	0	0	0	0	0	1	0	0	0	0	0
16_nodd	16	0	6	0	0	2	0	70	8	0	0	0	0	0	0	0	5	0	0	0	0	0
17_nodd	17	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
18_nodd	18	0	29	0	5	0	0	0	23	0	0	0	0	7	0	0	0	0	0	0	0	3
19_nodd	19	0	3	0	0	0	0	4	7	0	0	8	0	1	0	0	0	0	0	0	0	0
20_nodd	20	0	7	0	0	1	0	0	3	0	0	0	0	8	0	0	0	0	1	0	0	1
21_nodd	21	0	22	4	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0
22_nodd	22	0	46	0	3	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
23_nodd	23	0	13	2	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0
24_nodd	24	0	24	25	0	0	0	9	4	0	0	6	0	0	0	0	0	0	0	0	0	0
25_nodd	25	0	8	0	3	3	0	40	0	0	0	0	0	12	0	0	0	0	0	0	0	0
26_nodd	26	0	0	0	0	4	0	10	0	0	8	0	0	6	0	0	0	0	0	0	0	2
27_nodd	27	0	15	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
28_nodd	28	0	1	0	1	0	0	19	3	0	0	0	0	0	0	0	0	2	0	0	0	2
29_nodd	29	0	0	6	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1
30_nodd	30	0	238	15	11	0	0	2	34	0	0	0	0	0	0	0	1	0	1	0	0	0
31_nodd	31	0	12	0	0	0	0	10	3	0	1	0	0	0	0	0	0	0	0	0	0	0
32_nodd	32	0	184	0	2	0	0	43	1	0	0	0	0	0	0	0	5	0	0	0	0	0
33_nodd	33	0	8	61	0	0	0	4	31	0	0	14	0	0	0	0	0	0	4	0	0	0
34_nodd	34	0	9	4	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0
35_nodd	35	0	11	0	0	0	0	3	0	0	1	7	0	0	0	0	0	0	0	0	0	0
36_nodd	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37_nodd	37	0	2	170	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0
38_nodd	38	0	3	1	1	0	0	3	23	0	0	2	0	0	0	0	0	0	0	0	0	0
39_nodd	39	0	150	13	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
40_nodd	40	0	62	0	0	2	0	11	2	0	30	2	0	0	0	0	0	0	0	0	0	0
41_nodd	41	0	1	0	0	0	0	19	0	0	0	0	0	5	0	0	0	0	0	0	0	1
42_nodd	42	0	13	0	1	0	0	3	0	0	0	0	0	30	0	0	0	0	0	0	0	0
43_nodd	43	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
44_nodd	44	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45_nodd	45	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46_nodd	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47_nodd	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48_nodd	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49_nodd	49	0	32	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
50_nodd	50	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	1	0	0
51_nodd	51	0	41	0	8	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0
52_nodd	52	0	91	0	7	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0
53_nodd	53	0	464	0	85	0	0	0	3	18	0	0	0	0	0	0	0	1	0	0	0	0
54_nodd	54	0	92	0	12	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	0	0
55_nodd	55	0	113	0	45	0	0	0	0	38	0	1	0	0	0	0	0	10	0	0	0	1
56_nodd	56	0	13	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
57_nodd	57	0	12	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
58_nodd	58	0	1	0	5	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0
59_nodd	59	0	106	0	35	0	0	0	0	8	0	0	0	0	0	0	1	1	0	0	0	0
60_nodd	60	0	14	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61_nodd	61	0	14	0	9	0	0	0	0	13	0	0	0	0	0	0	0	5	0	0	0	0
62_nodd	62	0	17	0	6	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
63_nodd	63	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
64_nodd	64	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
65_nodd	65	0	44	0	19	0	0	0	0	15	0	0	0	0	0	0	0	2	0	0	0	0
66_nodd	66	0	8	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
67_nodd	67	0	5	0	3	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0
68_nodd	68	0	1	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
69_nodd	69	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70_nodd	70	0	38	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71_nodd	71	0	6	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
72_nodd	72	0	34	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
73_nodd	73	0	11	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
74_nodd	74	0	27	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
75_nodd	75	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76_nodd	76	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
77_nodd	77	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78_nodd	78	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79_nodd	79	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80_nodd	80	0	5	0	4	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0
81_nodd	81	0	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82_nodd	82	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
83_nodd	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84_nodd	84	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85_nodd	85	0	23	0	8	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
86_nodd	86	0	3	0	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0
87_nodd	87	0	13	0	3	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
88_nodd	88	0	86	0	6	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
89_nodd	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90_nodd	90	0	33	0	10	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
91_nodd	91	67	0	0	0	38	0	3	0	0	0	1	1	0	0	0	0	0	0	1	1	0
92_nodd	92	84	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93_nodd	93	1330	0	0	0	51	0	2	0	0	0	0	12	0	0	0	0	0	0	1	1	1
94_nodd	94	385	0	0	0	22	0	7	0	0	0	0	6	0	0	0	0	0	0	2	2	0
95_nodd	95	768	0	0	0	19	0	7	0	0	0	6	5	0	0	0	1	0	0	2	2	0
96_nodd	96	404	0	0	0	20	0	3	0	0	0	0	8	0	0	0	0	0	1	3	0	0
97_nodd	97	695	0	0	0	7	0	8	0	0	0	0	7	0	0	0	3	0	0	1	3	0
98_nodd	98	383	0	0	0	6	0	1	0	0	0	0	4	0	0	0	2	0	0	1	0	0
99_nodd	99	84	0	0	0	11	0	1	0	0	0	8	1	0	0	0	0	0	0	0	1	0
100_nodd	100	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
101_nodd	101	686	0	0	0	1	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0
102_nodd	102	304	0	6	0	6	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0
103_nodd	103	594	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104_nodd	104	109	0	0	0	18	0	2	0	0	0	1	2	0	0	0	1	0	0	0	0	0
105_nodd	105	317	0	2	0	1	0	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0
106_nodd	106	108	0	13	0	17	0	2	0	0	0	3	3	0	0	0	0	0	0	1	0	0
107_nodd	107	227	0	0	0	13	0	3	0	0	0	1	3	0	0	0	0	0	0	1	0	0
108_nodd	108	449	0	0	0	21	0	4	0	0	0	2	6	0	0	0	0	0	0	0	0	0
109_nodd	109	83	0	0	0	7	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0
110_nodd	110	689	0	0	0	3	0	3	0	0	0	0	1	0	0	0	2	0	0	1	0	0
111_nodd	111	1774	0	1	0	16	0	4	0	0	0	1	2	0	0	0	0	0	0	2	3	0
112_nodd	112	530	0	0	0	36	0	5	0	0	0	0	6	0	0	0	0	0	0	0	0	0
113_nodd	113	501	0	1	0	5	0	4	0	0	0	4	4	0	0	0	0	0	0	1	1	0
114_nodd	114	450	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
115_nodd	115	774	0	0	0	14	0	6	0	0	0	0	9	0	0	0	3	0	0	3	1	0
116_nodd	116	43	0	0	0	8	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0
117_nodd	117	72	0	0	0	7	0	2	0	0	0	0	3	0	0	0	0	0	0	1	1	0
118_nodd	118	81	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0
119_nodd	119	76	0	0	0	40	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0
120_nodd	120	13	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
121_nodd	121	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122_nodd	122	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123_nodd	123	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
124_nodd	124	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125_nodd	125	61	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126_nodd	126	164	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
127_nodd	127	48	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
128_nodd	128	120	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
129_nodd	129	377	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
130_nodd	130	143	0	0	0	7	0	2	0	0	0	1	4	0	0	0	0	0	0	1	1	0
131_nodd	131	0	23	0	1	0	17	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
132_nodd	132	3	9	5	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133_nodd	133	0	34	16	0	0	20	0	0	0	0	4	0	0	2	1	0	0	0	0	0	0
134_nodd	134	0	13	1	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
135_nodd	135	0	19	3	0	0	12	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
136_nodd	136	0	18	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
