	seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16	seq_17	seq_18	seq_19	seq_20	seq_21
100_nodd	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
101_nodd	686	0	0	0	1	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	
102_nodd	304	0	6	0	6	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	
103_nodd	594	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104_nodd	109	0	0	0	18	0	2	0	0	0	1	2	0	0	0	1	0	0	0	0	0	
105_nodd	317	0	2	0	1	0	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	
106_nodd	108	0	13	0	17	0	2	0	0	0	3	3	0	0	0	0	0	0	1	0	0	
107_nodd	227	0	0	0	13	0	3	0	0	0	1	3	0	0	0	0	0	0	1	0	0	
108_nodd	449	0	0	0	21	0	4	0	0	0	2	6	0	0	0	0	0	0	0	0	0	
109_nodd	83	0	0	0	7	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	
10_nodd	0	15	0	2	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	3	
110_nodd	689	0	0	0	3	0	3	0	0	0	0	1	0	0	0	2	0	0	1	0	0	
111_nodd	1774	0	1	0	16	0	4	0	0	0	1	2	0	0	0	0	0	0	2	3	0	
112_nodd	530	0	0	0	36	0	5	0	0	0	0	6	0	0	0	0	0	0	0	0	0	
113_nodd	501	0	1	0	5	0	4	0	0	0	4	4	0	0	0	0	0	0	1	1	0	
114_nodd	450	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	
115_nodd	774	0	0	0	14	0	6	0	0	0	0	9	0	0	0	3	0	0	3	1	0	
116_nodd	43	0	0	0	8	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	
117_nodd	72	0	0	0	7	0	2	0	0	0	0	3	0	0	0	0	0	0	1	1	0	
118_nodd	81	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	
119_nodd	76	0	0	0	40	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	
11_nodd	0	4	0	1	2	0	15	0	0	0	0	0	1	0	0	1	0	0	0	0	0	
120_nodd	13	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	
121_nodd	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
122_nodd	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
123_nodd	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
124_nodd	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
125_nodd	61	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
126_nodd	164	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
127_nodd	48	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
128_nodd	120	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
129_nodd	377	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	
12_nodd	0	36	0	8	0	0	1	0	3	6	0	0	0	0	0	0	2	0	0	0	0	
130_nodd	143	0	0	0	7	0	2	0	0	0	1	4	0	0	0	0	0	0	1	1	0	
131_nodd	0	23	0	1	0	17	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	
132_nodd	3	9	5	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
133_nodd	0	34	16	0	0	20	0	0	0	0	4	0	0	2	1	0	0	0	0	0	0	
134_nodd	0	13	1	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
135_nodd	0	19	3	0	0	12	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
136_nodd	0	18	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
137_nodd	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
138_nodd	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
139_nodd	0	35	2	4	0	18	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	
13_nodd	0	9	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
140_nodd	0	4	1	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
141_nodd	0	29	0	2	0	17	0	0	0	0	0	0	0	5	2	1	0	0	0	0	0	
142_nodd	0	23	3	1	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
143_nodd	0	33	1	0	0	16	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	
144_nodd	0	37	2	1	0	11	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	
145_nodd	0	17	3	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
146_nodd	2	47	5	1	0	9	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	
147_nodd	0	4	15	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
148_nodd	0	52	1	1	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
149_nodd	0	18	7	2	0	8	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	
14_nodd	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
150_nodd	0	29	0	1	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
151_nodd	0	8	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
152_nodd	0	17	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
153_nodd	0	3	2	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
154_nodd	0	26	0	0	1	11	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	
155_nodd	0	15	2	2	0	8	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
156_nodd	0	10	7	1	0	12	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	
157_nodd	0	34	2	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
158_nodd	0	20	11	0	0	14	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	
159_nodd	0	47	3	2	0	7	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
15_nodd	0	9	6	0	0	0	0	116	0	0	0	0	0	0	0	1	0	0	0	0	0	
160_nodd	0	10	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
161_nodd	5	15	2	2	0	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	
162_nodd	0	31	1	3	0	47	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0	
163_nodd	0	26	40	0	0	52	0	0	0	0	1	0	0	2	4	0	0	0	0	0	0	
164_nodd	0	8	3	2	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
165_nodd	0	33	1	3	0	4	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	
166_nodd	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
167_nodd	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	
168_nodd	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
169_nodd	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16_nodd	0	6	0	0	2	0	70	8	0	0	0	0	0	0	0	5	0	0	0	0	0	
170_nodd	3	13	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17_nodd	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	
18_nodd	0	29	0	5	0	0	0	23	0	0	0	0	7	0	0	0	0	0	0	0	3	
19_nodd	0	3	0	0	0	0	4	7	0	0	8	0	1	0	0	0	0	0	0	0	0	
1_nodd	0	74	0	20	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
20_nodd	0	7	0	0	1	0	0	3	0	0	0	0	8	0	0	0	0	1	0	0	1	
21_nodd	0	22	4	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
22_nodd	0	46	0	3	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
23_nodd	0	13	2	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	
24_nodd	0	24	25	0	0	0	9	4	0	0	6	0	0	0	0	0	0	0	0	0	0	
25_nodd	0	8	0	3	3	0	40	0	0	0	0	0	12	0	0	0	0	0	0	0	0	
26_nodd	0	0	0	0	4	0	10	0	0	8	0	0	6	0	0	0	0	0	0	0	2	
27_nodd	0	15	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	
28_nodd	0	1	0	1	0	0	19	3	0	0	0	0	0	0	0	0	2	0	0	0	2	
