	seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13
100_reca	0	0	0	0	0	0	0	0	0	0	0	0	0	
101_reca	0	375	0	0	0	0	0	0	0	0	0	0	0	
102_reca	0	560	0	0	0	0	0	0	0	0	0	0	0	
103_reca	0	362	0	0	0	0	0	0	0	0	0	0	0	
104_reca	0	136	0	0	0	0	0	0	0	0	0	0	0	
105_reca	0	219	0	0	0	0	0	0	0	0	0	0	0	
106_reca	0	165	0	0	0	0	0	0	0	0	0	0	0	
107_reca	0	249	0	0	0	0	0	0	0	0	0	0	0	
108_reca	0	96	0	0	0	0	0	0	0	0	0	0	0	
109_reca	0	9	0	0	0	0	0	0	0	0	0	0	0	
10_reca	26	0	82	0	1	0	0	0	0	0	0	1	0	
110_reca	0	356	0	0	0	0	0	0	0	0	0	0	0	
111_reca	0	11	0	0	0	0	0	0	0	0	0	0	0	
112_reca	0	45	0	0	0	0	0	0	0	0	0	0	0	
113_reca	0	266	0	0	0	0	0	0	0	0	0	0	0	
114_reca	0	225	0	0	0	0	0	0	0	0	0	0	0	
115_reca	0	81	0	0	0	0	0	0	0	0	0	0	0	
116_reca	0	89	0	0	0	0	0	0	0	0	0	0	0	
117_reca	0	118	0	0	0	0	0	0	0	0	0	0	0	
118_reca	0	166	0	0	0	0	0	0	0	0	0	0	0	
119_reca	0	569	0	0	0	0	0	0	0	0	0	0	0	
11_reca	59	0	17	0	0	0	0	0	0	0	0	2	0	
120_reca	0	100	0	0	0	0	0	0	0	0	0	0	0	
121_reca	0	27	0	0	0	0	0	0	0	0	0	0	0	
122_reca	0	22	0	0	0	0	0	0	0	0	0	0	0	
123_reca	0	7	0	0	0	0	0	0	0	0	0	0	0	
124_reca	0	1	0	0	0	0	0	0	0	0	0	0	0	
125_reca	0	32	0	0	0	0	0	0	0	0	0	0	0	
126_reca	0	179	0	0	0	0	0	0	0	0	0	0	0	
127_reca	0	391	0	0	0	0	0	0	0	0	0	0	0	
128_reca	0	325	0	0	0	0	0	0	0	0	0	0	0	
129_reca	0	336	0	0	0	0	0	0	0	0	0	0	0	
12_reca	632	0	0	3	0	0	0	0	1	0	0	0	0	
130_reca	0	217	0	0	0	0	0	0	0	0	0	0	0	
131_reca	221	0	0	0	0	0	0	0	0	0	0	0	0	
132_reca	24	1	0	0	0	0	0	0	2	5	0	0	0	
133_reca	25	0	0	0	0	0	0	0	0	5	0	0	0	
134_reca	64	0	0	0	0	0	0	0	0	0	0	0	1	
135_reca	72	0	0	0	0	0	0	0	0	0	0	0	0	
136_reca	62	0	0	0	0	0	0	0	1	4	0	0	0	
137_reca	49	0	0	0	0	0	0	0	0	0	0	0	0	
138_reca	3	0	0	0	0	0	0	0	0	0	0	0	0	
139_reca	335	0	0	0	0	0	0	0	1	0	1	2	0	
13_reca	2262	0	0	78	10	8	0	0	3	0	2	0	0	
140_reca	183	0	0	0	0	0	0	0	0	0	1	0	1	
141_reca	923	0	0	0	0	0	0	0	0	0	1	0	0	
142_reca	180	0	0	0	0	0	0	0	1	0	1	0	1	
143_reca	885	0	0	0	0	0	0	0	0	0	2	1	0	
144_reca	350	0	0	0	0	0	0	0	1	0	2	1	1	
145_reca	105	1	0	0	0	0	0	0	1	3	0	1	0	
146_reca	271	1	0	0	0	0	0	0	2	3	0	1	1	
147_reca	82	0	0	0	0	0	0	0	1	0	0	0	0	
148_reca	507	0	0	0	0	0	0	0	0	0	0	0	0	
149_reca	198	0	0	0	0	0	0	0	2	1	1	4	1	
14_reca	454	0	3	0	10	0	1	0	0	0	0	0	0	
150_reca	300	0	0	0	0	1	0	0	2	0	0	0	0	
151_reca	422	0	0	0	0	0	0	0	0	0	0	1	3	
152_reca	84	0	0	0	0	0	0	0	0	0	0	0	0	
153_reca	69	0	0	0	0	0	0	0	0	0	0	0	2	
154_reca	286	0	0	0	1	0	0	0	1	0	2	0	0	
155_reca	328	0	0	0	0	0	0	0	0	0	1	0	0	
156_reca	279	0	0	0	0	0	0	0	1	0	0	0	2	
157_reca	256	1	0	0	1	0	0	0	1	1	0	1	2	
158_reca	302	0	0	0	1	0	0	0	2	1	1	0	2	
159_reca	247	0	0	0	0	0	0	0	0	6	0	0	1	
15_reca	62	0	0	0	211	0	12	0	7	0	6	0	2	
160_reca	141	0	0	0	8	0	0	0	1	0	1	0	0	
161_reca	133	13	0	0	1	0	0	0	6	2	0	0	1	
162_reca	181	0	0	0	0	0	0	0	0	1	0	0	0	
163_reca	341	0	0	0	1	0	0	0	0	14	1	0	3	
164_reca	119	0	0	0	0	0	0	0	0	0	0	0	0	
165_reca	137	0	0	0	3	0	0	0	0	1	0	0	0	
166_reca	13	0	0	0	0	0	0	0	0	0	0	0	1	
167_reca	17	1	0	0	0	0	0	0	0	0	0	0	0	
