	seqr_1	seqr_2	seqr_3	seqr_4	seqr_5	seqr_6	seqr_7	seqr_8	seqr_9	seqr_10	seqr_11	seqr_12	seqr_13	seqr_14	seqr_15	seqr_16	seqr_17	seqr_18	seqr_19	seqr_20	seqr_21	seqr_22	seqr_23	seqr_24	seqr_25	seqr_26	seqr_27	seqr_28	seqr_29	seqr_30	seqr_31	seqr_32	seqr_33	seqr_34	seqr_35	seqr_36	seqr_37	seqr_38	seqr_39	seqr_40	seqr_41	seqr_42	seqr_43	seqr_44	seqr_45	seqr_46	seqr_47	seqr_48	seqr_49	seqr_50	seqr_51	seqr_52	seqr_53	seqr_54	seqr_55	seqr_56	seqr_57	seqr_58	seqr_59	seqr_60	seqr_61	seqr_62	seqr_63	seqr_64	seqr_65	seqr_66	seqr_67	seqr_68	seqr_69	seqr_70	seqr_71	seqr_72	seqr_73	seqr_74	seqr_75	seqr_76	seqr_77	seqr_78	seqr_79	seqr_80	seqr_81	seqr_82
100_reca	0	1404	0	0	0	0	0	0	0	1	0	0	0	0	0	0	14	0	0	0	0	17	0	0	0	0	0	0	0	0	3	0	0	0	0	10	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0	0	0	13	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
101_reca	2	32395	0	0	0	0	1	0	0	3	0	0	0	0	0	0	504	0	0	0	0	2112	0	0	0	0	0	0	0	0	91	2325	0	0	0	1002	0	0	0	0	0	0	1654	0	1	0	0	7	0	0	0	0	0	220	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	662	0	0	0	0	0	
102_reca	1	37954	0	0	1	0	1	0	0	4	0	0	0	0	0	0	249	0	0	0	0	589	0	0	0	0	0	0	0	0	85	499	0	0	0	399	0	0	0	0	0	0	490	0	110	0	0	2	0	0	0	1	0	239	0	0	0	0	0	0	0	0	0	0	3	0	75	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	
103_reca	0	30892	0	0	0	0	4	0	0	4	0	0	0	0	0	0	883	0	0	0	0	864	0	0	0	0	0	0	0	0	75	724	0	0	0	493	0	0	0	0	0	0	543	0	477	0	0	1	0	0	0	3	0	323	1123	0	0	0	0	0	0	0	0	0	478	0	236	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	
104_reca	0	18088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	394	0	0	0	0	0	0	0	0	29	172	0	0	0	484	0	0	0	0	0	0	270	0	15	0	0	1	0	0	0	0	0	71	53	0	0	0	0	0	0	0	0	0	115	0	10	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	
105_reca	1	25465	1	0	0	0	1	0	0	2	0	0	1	0	0	0	492	0	0	0	0	1534	0	0	0	0	0	0	1	0	41	295	0	0	0	1122	0	0	0	0	0	0	220	1	2317	0	0	5	0	0	0	3	0	159	4	0	0	0	0	0	0	0	0	0	5	0	1343	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	
106_reca	0	22306	1	0	0	0	1	0	0	8	1	0	0	0	0	0	891	0	0	0	0	2278	0	0	0	0	0	0	0	0	69	3248	0	0	0	1315	0	0	0	0	0	0	1769	0	350	0	0	6	0	0	0	1	0	168	408	0	0	0	0	0	0	0	0	0	224	0	201	0	0	0	0	0	0	0	0	0	549	0	0	0	0	0	
107_reca	2	24264	0	0	0	0	1	0	0	17	0	0	0	0	0	0	731	0	0	0	0	89	0	0	0	0	0	0	0	0	162	12	0	0	0	105	0	0	0	0	0	0	23	0	80	0	0	24	0	0	0	1	0	87	661	1	0	0	0	0	0	0	0	0	538	0	73	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	
108_reca	1	14398	0	0	0	0	0	0	0	39	0	0	0	0	0	0	710	0	0	0	0	328	0	0	0	0	0	0	0	0	179	56	0	0	0	315	0	0	0	0	0	0	67	0	356	0	0	3	0	0	0	1	0	40	550	0	0	0	0	0	0	0	0	0	339	0	341	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	
109_reca	1	4305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	1	0	0	0	393	0	0	0	0	0	0	0	1	8	306	0	0	0	180	0	0	0	0	0	0	156	0	26	0	0	0	0	0	0	0	0	14	71	0	0	0	1	0	0	0	0	0	119	0	12	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	
10_reca	7734	0	14559	180	747	83	219	236	315	426	1613	0	2173	13	2108	2075	0	1731	10	1798	120	0	0	0	109	11	454	65	1	0	20	0	551	0	5	0	384	55	294	56	643	392	0	42	0	0	170	44	0	622	161	5	147	0	0	96	330	618	520	226	432	0	0	0	0	125	0	15	0	0	152	8	160	98	74	460	0	0	5	30	0	0	
110_reca	2	31634	0	0	0	0	0	0	0	2	0	0	0	0	0	0	144	0	0	0	0	139	0	0	0	0	0	0	0	0	82	18	0	0	0	115	0	0	0	0	0	0	10	0	36	0	0	1	0	0	0	0	0	192	106	0	0	0	0	0	0	0	0	0	166	0	20	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	
111_reca	2	4364	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	17	0	0	0	0	0	0	0	0	4	14	0	0	0	18	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	
112_reca	4	10760	0	0	0	0	0	0	0	1	0	0	0	0	0	0	161	0	0	0	0	349	0	0	0	0	0	0	0	0	12	268	0	0	0	252	0	0	0	0	0	0	215	0	6	0	0	0	0	0	0	0	0	26	34	0	0	0	0	0	0	0	0	0	102	0	1	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	
113_reca	1	24880	0	0	0	0	0	0	0	1	0	0	0	0	0	0	833	0	0	0	0	656	0	0	0	0	0	0	0	0	46	198	0	0	2	520	0	1	0	0	0	0	231	0	213	0	0	2	0	0	0	1	0	62	450	0	0	0	0	0	0	0	0	0	516	0	232	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	
114_reca	1	23217	0	0	1	0	1	0	0	2	0	0	0	0	0	0	223	0	0	0	0	414	0	0	0	0	0	0	0	0	49	361	0	0	0	315	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	
115_reca	0	13672	1	0	0	0	0	0	0	0	0	0	0	1	0	0	246	1	0	0	0	111	0	0	0	0	0	0	0	0	22	21	1	0	0	109	0	0	0	0	0	0	28	0	59	0	0	0	0	0	0	0	0	46	132	0	0	0	0	0	0	0	0	0	106	0	81	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	
116_reca	0	14855	1	0	0	0	0	1	0	1	0	0	0	0	0	0	54	0	0	0	0	241	0	0	0	0	0	0	0	0	30	246	0	0	0	154	0	0	0	0	0	0	116	0	382	0	0	0	0	0	0	0	0	358	4	0	0	0	0	0	0	0	0	0	6	0	121	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	
117_reca	1	18296	0	0	0	0	0	0	0	1	0	0	0	0	0	0	133	0	0	0	0	474	0	0	0	0	0	0	0	0	53	607	0	0	0	261	0	0	0	0	0	0	332	0	1	0	0	0	0	0	0	1	0	291	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	
118_reca	2	21981	0	0	0	0	0	0	0	1	0	0	0	0	0	0	378	0	0	0	0	1938	0	0	0	0	0	0	0	0	56	1992	0	0	0	1214	0	0	0	0	0	0	784	0	2686	0	0	2	0	0	0	2	0	402	48	0	0	0	0	0	0	0	0	0	87	0	908	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	
119_reca	5	37374	0	0	1	0	1	0	0	15	0	0	0	0	0	1	788	0	0	0	0	1286	0	0	0	0	0	0	0	0	1069	294	0	0	0	541	3	0	0	0	0	0	184	3	494	0	0	1056	1	0	0	1	0	366	363	0	0	0	0	0	0	0	0	0	220	0	218	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	
11_reca	13203	1	7168	5	56	131	59	34	7	729	2325	2	2591	97	1918	2371	3	2247	14	1853	330	2	1	0	131	29	10	1	0	0	5	0	48	0	0	0	927	39	63	7	0	811	0	364	0	0	0	313	0	713	15	6	8	0	0	222	628	520	0	13	327	1	0	1	0	18	0	10	0	0	14	12	14	358	28	489	0	0	11	1	0	0	
120_reca	1	15346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553	0	1	0	0	874	0	0	0	0	0	0	0	0	42	632	0	0	0	550	0	0	0	0	0	0	455	0	15	0	0	1	0	0	0	0	0	186	527	0	0	0	0	0	0	0	0	0	469	0	10	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	
121_reca	0	7111	0	0	16	0	0	1	0	2	0	0	0	0	0	0	181	0	0	0	0	360	0	0	0	0	0	0	0	0	26	300	0	0	0	242	0	0	0	1	0	0	210	0	202	0	0	6	0	0	0	0	0	70	73	0	0	0	0	0	0	0	0	0	48	0	101	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	
122_reca	1	6425	0	0	0	1	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	83	0	0	0	0	0	0	0	0	18	49	0	0	0	44	0	0	0	0	0	0	56	0	1	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	
123_reca	1	2758	0	0	0	0	0	0	0	0	0	1	0	0	0	0	129	0	0	0	0	132	0	0	0	0	0	0	0	0	5	206	0	0	0	75	1	0	0	0	0	0	102	0	56	0	0	0	0	0	0	0	0	30	127	0	0	0	0	0	0	0	0	0	56	0	23	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	
124_reca	5	2270	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	14	1	0	1	0	0	0	0	0	9	18	0	0	0	10	0	0	0	0	0	0	5	0	6	0	0	8	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	
125_reca	3	9440	0	1	0	0	0	0	0	3	0	0	0	0	0	0	124	0	0	0	0	263	0	0	0	0	0	0	0	1	26	363	0	0	0	276	0	0	0	0	0	0	192	0	1	0	0	1	0	0	0	0	0	131	182	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	
126_reca	3	21023	0	1	0	0	3	0	0	32	0	0	0	0	0	0	661	0	0	0	0	529	0	0	0	0	0	0	0	0	228	130	0	0	3	407	0	0	0	0	0	0	123	1	685	0	0	9	0	0	0	2	0	259	632	0	0	0	0	0	0	0	0	0	362	0	419	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	
127_reca	4	31676	0	0	0	0	0	0	0	1	0	0	0	0	0	0	175	0	0	0	0	489	0	0	0	0	0	0	0	1	64	337	0	0	0	326	0	0	0	0	0	0	274	0	143	0	0	1	0	0	0	0	0	338	8	0	0	0	0	0	0	0	0	0	17	0	126	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	
128_reca	2	28639	0	1	0	0	1	0	0	25	0	0	0	0	0	0	311	0	0	0	0	659	0	0	0	0	0	0	0	0	162	401	0	0	0	432	0	0	0	0	0	0	411	0	70	0	0	7	0	0	0	1	0	294	22	0	0	0	0	0	0	0	0	0	80	0	45	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	
129_reca	1	30659	0	0	1	1	0	1	0	2	2	0	0	0	0	0	672	0	0	0	0	1531	0	0	0	0	0	0	0	0	56	1045	0	0	0	992	0	0	0	0	0	0	742	0	123	0	0	0	0	0	0	1	0	437	595	0	0	0	0	0	0	0	0	0	831	0	53	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	
12_reca	43970	1627	4	3575	222	1584	1668	229	347	320	19	0	2	1	1	1	1046	1	57	0	0	0	0	1	604	87	28	153	5	0	196	0	0	0	2	1	29	147	0	38	0	61	0	0	0	0	2824	1	0	1	0	317	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	24	0	2	2	69	48	0	23	
130_reca	7	24940	0	0	0	1	0	0	0	2	0	1	0	0	0	0	371	0	0	0	0	1197	0	0	0	0	0	0	0	0	62	737	0	0	0	773	0	0	0	0	0	0	537	0	915	0	0	4	0	0	0	1	0	367	1	0	0	0	0	0	0	0	0	0	4	0	544	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	
131_reca	24388	137	0	10	27	25	376	569	10	802	468	705	0	0	0	1	586	0	658	0	0	273	461	461	256	503	14	184	386	486	38	0	0	284	256	5	347	213	0	6	0	20	0	8	0	202	0	91	138	0	0	233	1	1	14	0	1	0	0	0	0	108	142	131	2	0	0	145	97	100	0	118	0	31	18	0	0	91	86	5	101	0	
132_reca	7734	1210	0	7	390	3	962	666	40	786	266	3165	0	0	0	0	715	0	861	0	0	3	1259	827	83	315	1	232	339	648	378	0	0	895	329	0	25	119	0	51	0	8	0	3	0	454	0	4	1	0	0	158	14	9	0	0	0	0	0	0	0	336	254	161	0	0	0	91	253	302	0	71	0	18	3	0	1	152	41	14	170	0	
133_reca	8551	30	0	2	1054	5	276	542	17	338	204	2276	0	0	0	1	11	0	330	0	0	2	426	357	114	93	4	30	246	302	20	0	0	395	442	1	13	79	0	63	0	7	0	2	0	213	0	0	102	0	0	5	19	0	0	0	0	0	0	0	0	134	125	51	0	0	0	69	136	132	0	23	0	21	5	0	0	44	18	2	29	0	
134_reca	13824	133	0	6	180	9	445	848	35	832	440	1391	0	0	0	0	113	0	842	0	0	1	721	742	102	718	9	275	477	550	74	0	0	598	349	0	68	207	0	35	0	10	0	2	0	315	62	6	479	0	0	48	5	2	0	0	0	0	0	0	0	185	210	248	0	0	0	167	198	184	0	139	0	27	5	0	0	134	111	5	132	0	
