		seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16
1_rpob	1	135	65	0	0	2	0	1	1	0	0	0	3	0	0	1	0
2_rpob	2	5	6	4	0	0	0	0	3	2	0	1	0	0	0	1	0
3_rpob	3	4	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0
4_rpob	4	15	29	0	0	0	0	2	0	0	0	0	0	0	0	0	0
5_rpob	5	4	8	0	1	0	0	1	0	0	0	0	0	0	0	0	0
6_rpob	6	6	2	5	0	0	0	0	0	0	0	0	0	0	2	0	0
7_rpob	7	19	11	0	2	0	0	1	0	0	0	0	0	0	0	0	0
8_rpob	8	12	6	148	0	1	0	0	0	0	0	0	0	0	2	1	0
9_rpob	9	72	123	148	0	0	0	12	0	3	0	0	0	0	6	0	0
10_rpob	10	8	2	0	0	0	0	0	6	22	0	1	0	2	0	0	0
11_rpob	11	0	44	1	0	0	0	0	3	6	0	6	0	0	1	0	0
12_rpob	12	90	141	0	3	0	0	7	0	0	0	0	0	0	0	0	0
13_rpob	13	556	363	4	0	2	0	15	1	0	0	0	0	0	1	0	0
14_rpob	14	4	4	221	0	0	0	0	1	0	0	0	0	0	3	3	0
15_rpob	15	13	1	0	0	266	0	1	0	0	0	0	11	0	0	7	0
16_rpob	16	20	3	0	1	104	0	0	10	15	0	0	2	1	0	3	0
17_rpob	17	87	7	2	0	0	0	0	0	0	0	0	0	0	1	0	0
18_rpob	18	11	3	0	0	10	0	1	12	34	0	1	0	2	0	0	0
19_rpob	19	1	0	0	0	6	0	0	12	0	0	0	1	0	0	0	0
20_rpob	20	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
21_rpob	21	33	0	2	0	22	0	1	0	0	0	0	0	0	0	1	0
22_rpob	22	30	16	0	0	2	0	3	2	0	0	0	5	0	0	0	0
23_rpob	23	28	14	0	0	0	0	10	0	0	0	0	0	0	0	0	0
24_rpob	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25_rpob	25	6	0	0	0	0	0	0	116	3	0	10	0	1	0	0	0
26_rpob	26	0	0	0	1	0	0	0	102	5	0	11	0	5	0	0	0
27_rpob	27	1	2	0	0	1	0	0	10	3	0	0	0	1	0	0	0
28_rpob	28	3	0	12	0	25	0	1	0	0	0	0	1	0	0	1	0
29_rpob	29	5	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
30_rpob	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
