	seq_1	seq_2	seq_3	seq_4	seq_5	seq_6	seq_7	seq_8	seq_9	seq_10	seq_11	seq_12	seq_13	seq_14	seq_15	seq_16
100_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
101_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
102_rpob	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	
103_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104_rpob	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
105_rpob	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
106_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
107_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
108_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
109_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10_rpob	8	2	0	0	0	0	0	6	22	0	1	0	2	0	0	0	
110_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
111_rpob	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	
112_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
113_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
114_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
115_rpob	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
116_rpob	0	0	0	52	0	34	0	0	0	10	0	0	0	0	0	0	
117_rpob	0	0	0	62	0	13	0	0	0	11	0	0	0	0	0	0	
118_rpob	0	0	0	32	0	65	0	0	0	4	0	0	0	0	0	0	
119_rpob	0	0	0	113	0	61	0	0	0	15	0	0	0	0	0	0	
11_rpob	0	44	1	0	0	0	0	3	6	0	6	0	0	1	0	0	
120_rpob	0	0	0	54	0	6	0	0	0	7	0	0	0	0	0	0	
121_rpob	0	0	0	5	0	3	0	0	0	1	0	0	0	0	0	0	
122_rpob	0	0	0	7	0	3	0	0	0	1	0	0	0	0	0	0	
123_rpob	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	
124_rpob	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	
125_rpob	0	0	0	24	0	19	0	0	0	10	0	0	0	0	0	0	
126_rpob	0	0	0	96	0	23	0	0	0	10	0	0	0	0	0	0	
127_rpob	0	0	0	99	0	67	0	0	0	15	0	0	0	0	0	0	
128_rpob	0	0	0	53	0	7	0	0	0	5	0	0	0	0	0	0	
129_rpob	0	0	0	27	0	88	0	0	0	28	0	0	0	0	0	0	
12_rpob	90	141	0	3	0	0	7	0	0	0	0	0	0	0	0	0	
130_rpob	0	0	0	29	0	35	0	0	0	31	0	0	0	0	0	0	
131_rpob	129	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
132_rpob	18	4	0	0	0	0	1	0	0	0	0	1	0	0	0	2	
133_rpob	154	33	0	0	0	0	2	0	0	0	0	4	0	0	0	2	
134_rpob	41	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
135_rpob	89	21	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
136_rpob	56	25	0	0	0	0	1	0	0	0	0	2	0	0	0	3	
137_rpob	34	51	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
138_rpob	31	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
139_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13_rpob	556	363	4	0	2	0	15	1	0	0	0	0	0	1	0	0	
140_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
141_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
142_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
143_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
144_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
145_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
146_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
147_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
148_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
149_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14_rpob	4	4	221	0	0	0	0	1	0	0	0	0	0	3	3	0	
150_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
151_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
152_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
153_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
154_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
155_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
156_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
157_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
158_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
159_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15_rpob	13	1	0	0	266	0	1	0	0	0	0	11	0	0	7	0	
160_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
161_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
162_rpob	183	42	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
163_rpob	197	73	0	0	0	0	5	0	0	0	0	3	0	0	0	7	
164_rpob	76	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
165_rpob	44	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
166_rpob	41	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
167_rpob	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
168_rpob	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
169_rpob	45	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16_rpob	20	3	0	1	104	0	0	10	15	0	0	2	1	0	3	0	
170_rpob	93	14	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
17_rpob	87	7	2	0	0	0	0	0	0	0	0	0	0	1	0	0	
18_rpob	11	3	0	0	10	0	1	12	34	0	1	0	2	0	0	0	
19_rpob	1	0	0	0	6	0	0	12	0	0	0	1	0	0	0	0	
1_rpob	135	65	0	0	2	0	1	1	0	0	0	3	0	0	1	0	
20_rpob	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
21_rpob	33	0	2	0	22	0	1	0	0	0	0	0	0	0	1	0	
22_rpob	30	16	0	0	2	0	3	2	0	0	0	5	0	0	0	0	
23_rpob	28	14	0	0	0	0	10	0	0	0	0	0	0	0	0	0	
24_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25_rpob	6	0	0	0	0	0	0	116	3	0	10	0	1	0	0	0	
26_rpob	0	0	0	1	0	0	0	102	5	0	11	0	5	0	0	0	
27_rpob	1	2	0	0	1	0	0	10	3	0	0	0	1	0	0	0	
28_rpob	3	0	12	0	25	0	1	0	0	0	0	1	0	0	1	0	
29_rpob	5	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	
2_rpob	5	6	4	0	0	0	0	3	2	0	1	0	0	0	1	0	
30_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31_rpob	0	0	0	0	0	0	0	5	6	0	0	0	2	0	0	0	
32_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
33_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35_rpob	3	0	0	0	1	0	0	1	41	0	2	1	2	0	0	0	
36_rpob	32	10	74	0	1	0	14	0	0	0	0	0	0	0	0	0	
37_rpob	1	4	327	0	0	0	1	0	0	0	0	0	0	1	0	0	
38_rpob	1	1	0	0	48	0	0	0	0	0	0	1	0	0	1	0	
39_rpob	61	187	394	0	2	0	0	0	0	0	0	0	0	8	0	1	
3_rpob	4	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
40_rpob	25	8	0	3	0	0	0	14	28	0	1	0	1	0	0	0	
41_rpob	0	0	0	0	0	0	0	7	34	0	7	0	10	0	0	0	
42_rpob	0	0	0	0	0	0	0	12	15	0	5	0	3	0	0	0	
43_rpob	4	0	0	0	8	0	0	0	0	0	0	1	0	0	0	2	
44_rpob	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	
45_rpob	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
46_rpob	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
47_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49_rpob	3	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	
4_rpob	15	29	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
50_rpob	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	
51_rpob	30	70	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
52_rpob	109	112	0	0	0	0	18	0	0	0	0	0	0	0	0	0	
53_rpob	12	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
54_rpob	209	139	0	0	0	0	15	0	0	0	0	0	0	0	0	0	
55_rpob	292	74	0	0	0	0	105	0	0	0	0	0	0	0	0	0	
56_rpob	18	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
57_rpob	42	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
58_rpob	57	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
59_rpob	120	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5_rpob	4	8	0	1	0	0	1	0	0	0	0	0	0	0	0	0	
60_rpob	16	35	0	0	0	0	5	0	0	0	0	0	0	0	0	0	
61_rpob	74	30	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
62_rpob	13	31	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
63_rpob	23	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
64_rpob	19	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
65_rpob	113	12	0	0	0	0	20	0	0	0	0	0	0	0	0	0	
66_rpob	79	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
67_rpob	48	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
68_rpob	78	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	
69_rpob	30	74	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
6_rpob	6	2	5	0	0	0	0	0	0	0	0	0	0	2	0	0	
70_rpob	70	34	0	0	0	0	16	0	0	0	0	0	0	0	0	0	
71_rpob	52	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
72_rpob	116	50	0	0	0	0	7	0	0	0	0	0	0	0	0	0	
73_rpob	26	12	0	0	0	0	23	0	0	0	0	0	0	0	0	0	
74_rpob	89	17	0	0	0	0	9	0	0	0	0	0	0	0	0	0	
75_rpob	6	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
76_rpob	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
77_rpob	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
78_rpob	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
79_rpob	49	15	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
7_rpob	19	11	0	2	0	0	1	0	0	0	0	0	0	0	0	0	
80_rpob	55	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
81_rpob	81	36	0	0	0	0	12	0	0	0	0	0	0	0	0	0	
82_rpob	24	11	1	0	0	0	1	0	0	0	0	0	0	0	0	0	
83_rpob	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
84_rpob	8	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
85_rpob	67	36	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
86_rpob	62	27	0	0	0	0	13	0	0	0	0	0	0	0	0	0	
87_rpob	86	71	0	0	0	0	7	0	0	0	0	0	0	0	0	0	
88_rpob	115	141	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
89_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8_rpob	12	6	148	0	1	0	0	0	0	0	0	0	0	2	1	0	
90_rpob	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
91_rpob	0	0	0	132	0	27	0	0	0	1	0	0	0	0	0	0	
92_rpob	0	0	0	43	0	15	0	0	0	4	0	0	0	0	0	0	
93_rpob	0	0	0	8	0	2	0	0	0	4	0	0	0	0	0	0	
94_rpob	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
95_rpob	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	
96_rpob	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
97_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
98_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
99_rpob	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9_rpob	72	123	148	0	0	0	12	0	3	0	0	0	0	6	0	0	
total	4860	2747	1368	932	502	479	366	323	218	159	46	37	30	25	19	18
seconds	20	52	5	5	5	6	15	2	1	2	1	3	1	1	1	1
