	seqr_1	seqr_2	seqr_3	seqr_4	seqr_5	seqr_6	seqr_7	seqr_8	seqr_9	seqr_10	seqr_11	seqr_12	seqr_13	seqr_14	seqr_15	seqr_16	seqr_17	seqr_18	seqr_19	seqr_20	seqr_21	seqr_22	seqr_23	seqr_24	seqr_25	seqr_26	seqr_27	seqr_28	seqr_29	seqr_30	seqr_31	seqr_32	seqr_33	seqr_34	seqr_35	seqr_36	seqr_37	seqr_38	seqr_39	seqr_40	seqr_41	seqr_42	seqr_43	seqr_44	seqr_45	seqr_46	seqr_47	seqr_48	seqr_49	seqr_50	seqr_51	seqr_52	seqr_53	seqr_54	seqr_55	seqr_56	seqr_57	seqr_58	seqr_59	seqr_60	seqr_61	seqr_62	seqr_63	seqr_64	seqr_65	seqr_66	seqr_67	seqr_68	seqr_69	seqr_70	seqr_71	seqr_72	seqr_73	seqr_74	seqr_75	seqr_76	seqr_77	seqr_78	seqr_79	seqr_80	seqr_81	seqr_82	seqr_83	seqr_84	seqr_85	seqr_86	seqr_87	seqr_88	seqr_89	seqr_90	seqr_91	seqr_92	seqr_93	seqr_94	seqr_95	seqr_96	seqr_97	seqr_98	seqr_99	seqr_100	seqr_101	seqr_102	seqr_103	seqr_104	seqr_105	seqr_106	seqr_107	seqr_108	seqr_109	seqr_110	seqr_111	seqr_112	seqr_113
100_rpob	0	0	14	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
101_rpob	0	0	175	0	0	35	0	0	0	51	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	37	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	
102_rpob	2	1	815	0	0	1366	0	0	0	1249	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	54	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	53	0	0	0	2	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	26	0	0	0	0	0	1	
103_rpob	1	0	56	0	0	36	0	0	0	64	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
104_rpob	0	0	1444	0	0	362	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	11	0	0	0	9	0	0	0	0	0	0	12	0	0	0	8	0	0	0	0	28	0	0	0	0	0	3	
105_rpob	0	0	677	0	0	458	0	1	1	176	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	7	0	0	0	0	0	73	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	27	0	0	0	53	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	22	0	0	0	16	0	0	0	0	0	1	19	0	0	0	13	0	0	0	0	5	0	0	0	0	0	2	
106_rpob	0	0	170	0	0	48	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	2	0	0	0	0	0	15	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	60	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	1	0	0	0	1	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	13	0	0	0	0	0	0	
107_rpob	0	0	150	0	0	44	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	
108_rpob	0	0	585	0	0	137	0	0	0	120	1	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	3	0	0	0	0	0	34	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	12	0	0	0	24	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	5	0	0	0	11	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
109_rpob	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10_rpob	5648	3357	1	215	1030	0	939	8479	3351	0	374	2184	2489	226	219	192	269	0	1025	1916	287	111	0	123	29	598	1119	670	35	858	1474	1	340	0	0	62	98	747	97	185	0	0	391	0	552	0	149	7	329	225	38	94	101	238	477	0	0	5	408	1	0	0	71	12	0	66	18	25	82	307	0	31	64	42	1	467	570	281	41	496	282	5	0	0	268	0	0	98	192	23	0	69	153	0	2	20	45	0	298	16	153	0	212	0	324	2	0	54	174	303	0	4	0	
110_rpob	1	0	12	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
111_rpob	0	0	467	0	3	194	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	
112_rpob	0	0	78	0	0	23	1	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	
113_rpob	0	1	1006	0	0	403	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	2	0	0	0	0	0	82	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	28	0	0	0	28	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	13	0	0	0	11	0	0	0	1	0	0	10	0	0	0	18	0	0	0	0	50	0	0	0	0	0	0	
114_rpob	0	0	284	0	0	104	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	7	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
115_rpob	0	0	1626	0	0	626	0	0	0	505	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	0	58	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	1	0	0	0	34	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	18	0	0	0	23	0	0	0	0	0	0	2	0	0	0	18	0	0	0	0	39	0	0	0	0	0	0	
116_rpob	0	0	11914	0	0	10094	0	0	0	5666	0	0	1	0	0	0	0	0	0	0	0	0	569	0	0	0	0	0	75	0	0	0	0	0	547	0	0	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	224	0	0	0	818	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	362	0	0	0	243	0	0	0	0	0	0	173	0	0	0	174	0	0	0	0	167	0	0	0	0	0	93	
117_rpob	0	0	13948	0	0	7179	0	0	0	7072	0	0	0	0	0	0	0	0	0	0	0	0	1520	0	0	0	0	0	16	0	0	0	0	0	298	0	0	0	1	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	697	0	0	0	457	0	0	0	1	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	636	0	0	0	232	0	0	0	124	0	0	0	0	0	0	333	0	0	0	133	0	0	0	0	87	0	0	0	0	0	58	
118_rpob	1	0	10401	0	1	12868	0	0	0	2744	0	0	0	0	0	0	0	0	0	0	0	0	2307	0	0	0	0	0	422	0	0	0	0	0	1036	1	0	0	0	0	0	0	0	921	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	856	0	0	0	2554	0	0	0	0	0	1205	0	0	0	0	0	0	0	0	0	0	0	620	0	0	0	478	0	0	0	589	0	0	0	1	0	0	785	0	0	0	329	0	0	0	0	765	0	0	0	0	1	693	
119_rpob	3	0	17862	0	0	14599	0	0	0	5989	0	0	0	0	0	0	0	0	0	0	0	0	917	0	0	0	0	0	199	0	0	0	0	0	479	8	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	200	0	0	0	414	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	491	0	0	0	200	0	0	0	2	0	2	175	0	0	0	142	0	0	0	0	207	0	0	0	0	0	90	
11_rpob	2190	11490	10	991	2528	0	176	3253	2605	0	115	2685	1015	170	75	16	145	0	1689	1341	27	101	1	36	24	166	2099	1447	102	228	352	7	872	0	0	27	1	360	34	58	0	0	64	0	231	0	367	33	389	35	13	29	197	84	182	0	0	1	51	0	0	0	173	1	0	41	81	10	8	902	0	38	46	18	2	265	275	135	0	321	368	4	0	1	272	0	0	124	191	12	0	9	197	0	8	48	1	0	512	0	404	0	68	2	228	6	0	10	326	61	0	13	0	
120_rpob	0	0	11314	0	0	4094	0	0	1	4147	0	0	0	0	0	0	0	0	0	0	0	0	1083	0	0	0	0	0	113	0	0	0	0	0	927	0	0	0	0	0	0	0	0	759	0	0	0	0	0	0	0	0	0	0	0	0	547	0	0	0	303	0	0	0	14	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	415	1	0	0	147	0	0	0	389	0	0	0	0	0	1	148	0	0	0	353	0	0	0	0	130	0	0	0	0	2	713	
