;nodAseq1;nodAseq2;nodAseq3;nodAseq4;nodAseq5;nodAseq6;nodAseq8;nodAseq9;nodAseq10;nodAseq11;nodAseq12;nodAseq13;nodAseq14;nodAseq15;nodAseq16;nodAseq17;nodAseq18;nodAseq19;nodAseq20;nodAseq21;nodAseq22;nodDseq1;nodDseq2;nodDseq3;nodDseq5;nodDseq6;nodDseq7;nodDseq8;nodDseq10;nodDseq11;nodDseq12;nodDseq13;nodDseq14;nodDseq16;nodDseq17;nodDseq18;nodDseq19;nodDseq20;recAseq1;recAseq2;recAseq3;recAseq4;recAseq5;recAseq6;recAseq7;recAseq8;recAseq9;recAseq10;recAseq11;recAseq12;recAseq13;rpoBseq1;rpoBseq2;rpoBseq3;rpoBseq4;rpoBseq5;rpoBseq6;rpoBseq7;rpoBseq8;rpoBseq9;rpoBseq10;rpoBseq11;rpoBseq12;rpoBseq13;rpoBseq14;rpoBseq15;rpoBseq16
1;29;0;1;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;167;0;0;0;0;0;5;3;0;0;0;0;0;135;65;0;0;2;0;1;1;0;0;0;3;0;0;1;0
2;4;0;13;0;0;0;2;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;10;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;57;0;12;0;0;0;0;1;0;0;0;1;0;5;6;4;0;0;0;0;3;2;0;1;0;0;0;1;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;9;2;0;0;0;3;0;0;0;0;0;0;52;0;7;0;0;0;0;0;0;0;1;1;1;4;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0
4;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;15;29;0;0;0;0;2;0;0;0;0;0;0;0;0;0
5;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;1;0;0;0;0;1;0;0;0;0;4;8;0;1;0;0;1;0;0;0;0;0;0;0;0;0
6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;6;2;5;0;0;0;0;0;0;0;0;0;0;2;0;0
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;7;0;0;0;0;1;0;0;0;0;19;11;0;2;0;0;1;0;0;0;0;0;0;0;0;0
8;1;0;1;3;9;0;9;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;45;0;0;0;0;0;0;0;0;0;0;0;3;0;0;324;0;0;1;0;0;4;0;0;0;0;0;0;12;6;148;0;1;0;0;0;0;0;0;0;0;2;1;0
9;17;0;6;1;30;0;7;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;44;48;0;0;0;0;0;1;0;0;0;3;0;2;0;0;851;0;10;0;0;0;0;0;0;0;0;4;2;72;123;148;0;0;0;12;0;3;0;0;0;0;6;0;0
10;2;0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;26;0;82;0;1;0;0;0;0;0;0;1;0;8;2;0;0;0;0;0;6;22;0;1;0;2;0;0;0
