;196;MAUI
nodA;0;0
nodA;0,75;0,85656
nodA;0;0,000260246
nodA;0;0
nodA;0,03125;0,019197162
nodA;0,21875;0,074290855
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0,024908126
nodA;0;0,019581987
nodA;0;0
nodA;0;0
nodA;0;0,002289323
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0,002912301
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0,805555556;0,914907899
nodA;0,027777778;0,002397052
nodA;0;0
nodA;0;0
nodA;0,166666667;0,046194318
nodA;0;0,000365497
nodA;0;0
nodA;0;0,00076679
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0,011378481
nodA;0;0,007411134
nodA;0;0,008830272
nodA;0;0
nodA;0;0,004421298
nodA;0;0,000614342
nodA;0;0,002712916
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0,58974359;0,452573347
nodA;0;0
nodA;0;0
nodA;0,41025641;0,370838597
nodA;0;0,000228571
nodA;0;0
nodA;0;0,148762672
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0,015556631
nodA;0;0
nodA;0;0
nodA;0;0
nodA;0;0,012040181
nodA;0;0
nodA;0;0
nodA;0,251851852;0,175169192
nodA;0;0
nodA;0,151851852;0,302670488
nodA;0,033333333;0,035119646
nodA;0,159259259;0,139439019
nodA;0;0,004215607
nodA;0,133333333;0,005530417
nodA;0,011111111;0,084443967
nodA;0,111111111;0,065836117
nodA;0;0,105706723
nodA;0;0
nodA;0,040740741;0
nodA;0;0,04096641
nodA;0;0,001951469
nodA;0;0,009129745
nodA;0;0,000314712
nodA;0;0,003524066
nodA;0;0,00110361
nodA;0,011111111;0
nodA;0;0,006662339
nodA;0,040740741;0,000550648
nodA;0,033333333;0
nodA;0,022222222;0
recA;0;0
recA;0,96875;1
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0,03125;0
recA;0,722222222;0,964714012
recA;0,027777778;0,006065538
recA;0;0
recA;0;0
recA;0,055555556;0,002471883
recA;0;8,69E-05
recA;0;0
recA;0;0
recA;0;0,005549542
recA;0,111111111;0,013689091
recA;0;0,001320831
recA;0;0,001260772
recA;0;0,00484148
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0,083333333;0
recA;0;0
recA;0,625;0,742324575
recA;0;0
recA;0;0
recA;0,325;0,201165589
recA;0;0
recA;0,05;0,056509836
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0;0
recA;0,488888889;0,622123647
